,total,POSITIVE,NEGATIVE,proportion
coming,15,4,11,0.26666666666666666
die,6,0,6,0.0
lied,6,2,4,0.3333333333333333
soon,6,0,6,0.0
iowa,5,3,2,0.6
none,6,0,6,0.0
fake,11,1,10,0.09090909090909091
posts,5,0,5,0.0
community,10,0,10,0.0
rather,5,0,5,0.0
gave,10,3,7,0.3
el,8,0,8,0.0
calling,5,1,4,0.2
north,17,3,14,0.17647058823529413
organization,6,3,3,0.5
needs,7,1,6,0.14285714285714285
guy,6,2,4,0.3333333333333333
u,10,1,9,0.1
shame,5,0,5,0.0
presidency,5,3,2,0.6
dictator,6,1,5,0.16666666666666666
term,9,3,6,0.3333333333333333
claim,11,5,6,0.45454545454545453
taking,11,3,8,0.2727272727272727
paid,6,0,6,0.0
path,5,1,4,0.2
facts,6,2,4,0.3333333333333333
open,12,4,8,0.3333333333333333
interest,13,1,12,0.07692307692307693
rates,14,3,11,0.21428571428571427
signs,7,1,6,0.14285714285714285
pos,5,0,5,0.0
taxpayers,5,0,5,0.0
southern,14,1,13,0.07142857142857142
immigration,8,1,7,0.125
month,10,0,10,0.0
drugs,8,0,8,0.0
brandon,6,4,2,0.6666666666666666
four,7,3,4,0.42857142857142855
manufacturing,7,2,5,0.2857142857142857
ev,5,1,4,0.2
goes,5,4,1,0.8
yeah,9,4,5,0.4444444444444444
choice,5,0,5,0.0
withdraw,9,0,9,0.0
party,9,0,9,0.0
week,5,1,4,0.2
went,8,2,6,0.25
cost,12,2,10,0.16666666666666666
closed,6,1,5,0.16666666666666666
modern,9,1,8,0.1111111111111111
buy,12,0,12,0.0
yemen,10,0,10,0.0
completely,6,1,5,0.16666666666666666
sleepy,6,3,3,0.5
sell,14,2,12,0.14285714285714285
borders,17,2,15,0.11764705882352941
thousands,5,1,4,0.2
hunter,8,5,3,0.625
list,5,1,4,0.2
liar,20,0,20,0.0
fool,5,2,3,0.4
rent,8,0,8,0.0
yesterday,6,2,4,0.3333333333333333
dc,6,3,3,0.5
losing,6,1,5,0.16666666666666666
seems,5,1,4,0.2
shut,7,2,5,0.2857142857142857
covid,10,1,9,0.1
killer,6,1,5,0.16666666666666666
facebook,6,2,4,0.3333333333333333
clown,5,1,4,0.2
makes,7,3,4,0.42857142857142855
purpose,9,1,8,0.1111111111111111
link,13,2,11,0.15384615384615385
business,11,3,8,0.2727272727272727
fjb,16,1,15,0.0625
violent,9,1,8,0.1111111111111111
running,5,1,4,0.2
strange,9,0,9,0.0
alien,6,0,6,0.0
take,17,4,13,0.23529411764705882
fact,13,2,11,0.15384615384615385
except,6,1,5,0.16666666666666666
general,9,1,8,0.1111111111111111
called,12,3,9,0.25
parts,10,0,10,0.0
immigrants,6,1,5,0.16666666666666666
bureau,5,1,4,0.2
statistics,5,0,5,0.0
near,7,0,7,0.0
entered,9,1,8,0.1111111111111111
per,6,0,6,0.0
perfect,8,0,8,0.0
example,5,2,3,0.4
healthcare,9,0,9,0.0
grand,12,0,12,0.0
services,9,1,8,0.1111111111111111
january,10,1,9,0.1
bring,6,2,4,0.3333333333333333
unless,5,0,5,0.0
works,6,0,6,0.0
officially,9,1,8,0.1111111111111111
worse,7,0,7,0.0
meanwhile,5,0,5,0.0
continue,5,0,5,0.0
stupid,10,0,10,0.0
defense,5,0,5,0.0
wanted,18,5,13,0.2777777777777778
else,9,1,8,0.1111111111111111
official,23,0,23,0.0
approaching,12,0,12,0.0
sky,7,0,7,0.0
watching,12,1,11,0.08333333333333333
whoever,6,0,6,0.0
pole,13,0,13,0.0
surely,19,0,19,0.0
worlds,19,0,19,0.0
turn,8,0,8,0.0
mother,24,0,24,0.0
following,5,1,4,0.2
ad,22,0,22,0.0
weather,7,1,6,0.14285714285714285
messengers,18,0,18,0.0
سورة,21,0,21,0.0
earth,16,0,16,0.0
towns,20,0,20,0.0
